artist_id, tag
ARBFQ7L1187B9ACD48, classic pop and rock
ARBFQ7L1187B9ACD48, amÇricain
ARBFQ7L1187B9ACD48, usa
ARBGWMW1187B9AEA3E, australian
ARBGWMW1187B9AEA3E, pop
ARBGWMW1187B9AEA3E, soft rock
ARBGWMW1187B9AEA3E, duo
ARBGWMW1187B9AEA3E, classic pop and rock
ARBGWMW1187B9AEA3E, rock
ARBGWMW1187B9AEA3E, melodic rock
ARBH0MS1187FB36311, conductor
ARBJSO81187B9BA09B, rock en espanol
ARBJSO81187B9BA09B, rock
ARBJSO81187B9BA09B, latin
ARBJSO81187B9BA09B, dinamo
ARBM4TC1187FB5CE98, jazz and blues
ARBM57Q1187B9AF97C, soundtrack
ARBM57Q1187B9AF97C, classical
ARBM57Q1187B9AF97C, contemporary classical
ARBM57Q1187B9AF97C, american
ARBM57Q1187B9AF97C, easy listening soundtracks and musicals
ARBNXYA1187FB51C50, hip hop rnb and dance hall
ARBOG0H1187B99F775, punk rock
ARBOG0H1187B99F775, rock
ARBOG0H1187B99F775, american
ARBOG0H1187B99F775, pop punk
ARBOG0H1187B99F775, punk
ARBOG0H1187B99F775, usa
ARBOG0H1187B99F775, christian punk
ARBOG0H1187B99F775, alt punk
ARBPXW61187B99D5D9, folk
ARBQBZV1187B99D29E, uk
ARBQBZV1187B99D29E, english
ARBQBZV1187B99D29E, british
ARBQPXY1187B98D67B, folk
ARBS1OC1187FB44CAF, hip hop rnb and dance hall
ARBV2AK1187FB5BA33, classic pop and rock
ARBV8MP1187B9B60B1, finnish
ARBVHDI1187FB436DF, sludge metal
ARBXIDR1187B9AB77E, dance and electronica
ARBXIDR1187B9AB77E, france
ARBXVFV1187B99AA63, hard rock
ARBXVFV1187B99AA63, rock
ARBYFR71187B99A2A4, folk
ARC0MTS1187FB44C21, guitarist
ARC0MTS1187FB44C21, harmonicist
ARC0MTS1187FB44C21, jazz
ARC0MTS1187FB44C21, belgian
ARC0MTS1187FB44C21, whistler
ARC5Q0L1187B98D463, folk
ARC6UC81187B989062, country
ARC6UC81187B989062, folk
ARC7C241187B990F7F, metal
ARC7C241187B990F7F, christian
ARC8CQZ1187B98DECA, folk
ARC8CQZ1187B98DECA, soft rock
ARC8CQZ1187B98DECA, acoustic
ARC8CQZ1187B98DECA, rock
ARC8CQZ1187B98DECA, american
ARC8CQZ1187B98DECA, surf
ARC8CQZ1187B98DECA, pop and chart
ARCE0H01187B9AF741, funk metal
ARCE0H01187B9AF741, alternative rock
ARCE0H01187B9AF741, alternative metal
ARCE0H01187B9AF741, rapcore
ARCE0H01187B9AF741, rock
ARCE0H01187B9AF741, metal
ARCE0H01187B9AF741, american
ARCE0H01187B9AF741, rock and indie
ARCE0H01187B9AF741, political
ARCE0H01187B9AF741, angry
ARCEEC91187B9AC4FB, soul and reggae
ARCEEC91187B9AC4FB, freestyle
ARCEEC91187B9AC4FB, dance
ARCEEC91187B9AC4FB, pop
ARCEEC91187B9AC4FB, 80s
ARCEOW71187B9A5A71, classic pop and rock
ARCF06I1187B995398, hip-hop
ARCF06I1187B995398, canadian hip-hop
ARCF06I1187B995398, alternative rap
ARCF06I1187B995398, canada
ARCF06I1187B995398, canadian
ARCF06I1187B995398, singer
ARCF06I1187B995398, rapper
ARCF06I1187B995398, hip hop
ARCF06I1187B995398, producer
ARCFOZ71187FB43A0D, durban
ARCFOZ71187FB43A0D, south africa
ARCGJ6U1187FB4D01F, hip hop rnb and dance hall
ARCGJ6U1187FB4D01F, dangerous
ARCH7RE1187FB5B1B9, folk
ARCHKD91187B9A0A42, phil spector
ARCHKD91187B9A0A42, american
ARCHKD91187B9A0A42, pop
ARCHKD91187B9A0A42, rock and indie
ARCJKV91187FB46210, uk
ARCJKV91187FB46210, scottish
ARCJKV91187FB46210, british
ARCJKV91187FB46210, pop and chart
ARCJKV91187FB46210, folk
ARCK6OL1187B99B25F, american
ARCLFWR1187B9AE7B2, rock and indie
ARCLJQZ11E2835CE37, folk
ARCNOK81187B98CA3F, reggae
ARCNOK81187B98CA3F, dancehall
ARCNOK81187B98CA3F, jamaican
ARCNOK81187B98CA3F, soul and reggae
ARCQCYR1187B99367F, folk
ARCRR5X1187FB3BD4A, taiwanese
ARCRR5X1187FB3BD4A, mandarin
ARCRR5X1187FB3BD4A, chinese
ARCT2BM1187FB3D02A, punjabi
ARCT2BM1187FB3D02A, bhangra
ARCT2BM1187FB3D02A, ??????
ARCT2BM1187FB3D02A, ?????
ARCT5P61187FB3D950, rock and indie
ARCYE581187B9A1482, german
ARCZ20M1187FB49687, country
ARD0FN11187B9B25CD, american
ARD0FN11187B9B25CD, rock
ARD0FN11187B9B25CD, big band
ARD0FN11187B9B25CD, pop
ARD0FN11187B9B25CD, rock and roll
ARD0FN11187B9B25CD, easy listening soundtracks and musicals
ARD0FN11187B9B25CD, folk
ARD2NDU1187B99B615, folk punk
ARD2NDU1187B99B615, celtic punk
ARD2NDU1187B99B615, punk
ARD2NDU1187B99B615, usa
ARD3LXU1187B9ABFC5, british
ARD3LXU1187B9ABFC5, punk rock
ARD3LXU1187B9ABFC5, uk
ARD3LXU1187B9ABFC5, london
ARD3LXU1187B9ABFC5, england
ARD3LXU1187B9ABFC5, english
ARD3LXU1187B9ABFC5, britannique
ARD3LXU1187B9ABFC5, classic pop and rock
ARD3LXU1187B9ABFC5, rock
ARD3LXU1187B9ABFC5, punk
ARD4C1I1187FB4B0C3, progressive rock
ARD4C1I1187FB4B0C3, british
ARD4C1I1187FB4B0C3, rock
ARD4C1I1187FB4B0C3, uk
ARD4C1I1187FB4B0C3, psychedelic rock
ARD4C1I1187FB4B0C3, classic pop and rock
ARD4C1I1187FB4B0C3, space rock
ARD4C1I1187FB4B0C3, britannique
ARD4C1I1187FB4B0C3, art rock
ARD4C1I1187FB4B0C3, roger waters
ARD4C1I1187FB4B0C3, classic rock
ARD4C1I1187FB4B0C3, english
ARD4KNM1187FB3626A, dubtronica
ARD4KNM1187FB3626A, fusion
ARD4KNM1187FB3626A, bass
ARD4KNM1187FB3626A, idm
ARD4KNM1187FB3626A, world
ARD4KNM1187FB3626A, rottun
ARD4KNM1187FB3626A, interchill
ARD4KNM1187FB3626A, psydub
ARD4KNM1187FB3626A, dub
ARD4KNM1187FB3626A, dubstep
ARD4KNM1187FB3626A, chillout
ARD4KNM1187FB3626A, electronica
ARD4KNM1187FB3626A, electronic
ARD5K161187B9AC784, british
ARD5K161187B9AC784, english
ARD5K161187B9AC784, sevenoaks
ARD5K161187B9AC784, house
ARD5K161187B9AC784, techno
ARD5K161187B9AC784, electronica
ARD5K161187B9AC784, electronic
ARD5K161187B9AC784, ambient techno
ARD5K161187B9AC784, uk
ARD5K161187B9AC784, dance and electronica
ARD5SR21187B9B5F4A, finnish
ARD6L7O1187B995ADA, jazz
ARD6S3O1187FB3F1F0, uk
ARD6S3O1187FB3F1F0, punk
ARD842G1187B997376, canadian
ARD842G1187B997376, country rock
ARD842G1187B997376, rock
ARD842G1187B997376, folk
ARD8JVH1187FB4DA04, uk
ARD8JVH1187FB4DA04, british
ARD8JVH1187FB4DA04, english
ARD8JVH1187FB4DA04, classic pop and rock
ARD8JVH1187FB4DA04, production music
ARDBSFT1187B9AC9C1, rock and indie
ARDCFNZ1187FB3DDB0, spanish
ARDCFNZ1187FB3DDB0, european
ARDCFNZ1187FB3DDB0, pop and chart
ARDCIH31187B98B241, electronic
ARDCIH31187B98B241, austrian
ARDCQM61187B9951CE, house
ARDCQM61187B9951CE, dance
ARDCQM61187B9951CE, australian
ARDCQM61187B9951CE, electronic
ARDCQM61187B9951CE, pop
ARDD1RC1187B9B52B4, jazz and blues
ARDDWUI1187FB379F7, finnish
ARDEC2A1187B9A460E, thrash metal
ARDEC2A1187B9A460E, metal
ARDEC2A1187B9A460E, metalcore
ARDEC2A1187B9A460E, american
ARDEC2A1187B9A460E, hardcore
ARDEC2A1187B9A460E, groove metal
ARDF6RM1187FB5A409, american
ARDF8K01187FB37200, rock and indie
ARDG9Z71187B997023, uk
ARDG9Z71187B997023, british
ARDG9Z71187B997023, english
ARDG9Z71187B997023, rock and indie
ARDG9Z71187B997023, punk
ARDG9Z71187B997023, england
ARDG9Z71187B997023, indie
ARDG9Z71187B997023, post punk
ARDG9Z71187B997023, alternative
ARDGB6U1187FB3AD07, british
ARDGB6U1187FB3AD07, synthpop
ARDGB6U1187FB3AD07, electronic
ARDGB6U1187FB3AD07, new wave
ARDGB6U1187FB3AD07, uk
ARDGB6U1187FB3AD07, classic pop and rock
ARDGB6U1187FB3AD07, rnb
ARDGB6U1187FB3AD07, pop
ARDGB6U1187FB3AD07, rock
ARDIBRT1187B9AF176, hard rock
ARDIBRT1187B9AF176, rock
ARDIBRT1187B9AF176, blues rock
ARDIBRT1187B9AF176, british
ARDIBRT1187B9AF176, english
ARDIBRT1187B9AF176, classic pop and rock
ARDIBRT1187B9AF176, uk
ARDIBRT1187B9AF176, classic rock
ARDIBRT1187B9AF176, folk
ARDIBRT1187B9AF176, amÇricain
ARDIBRT1187B9AF176, usa
ARDIBRT1187B9AF176, american
ARDIBRT1187B9AF176, folk rock
ARDIBRT1187B9AF176, heavy metal
ARDIBRT1187B9AF176, metal
ARDINVM1187B98A6C1, french
ARDK6QW1187B9B8D85, uk
ARDK6QW1187B9B8D85, punk
ARDK6QW1187B9B8D85, london
ARDK6QW1187B9B8D85, england
ARDK6QW1187B9B8D85, classic pop and rock
ARDK87R1187B98D51C, rock and indie
ARDL38Z1187B9B9FB5, jimmy tamborello
ARDL38Z1187B9B9FB5, rock and indie
ARDPFGP1187B98A58A, rock and indie
ARDPTGD1187B9AD361, fusion
ARDPTGD1187B9AD361, jazz fusion
ARDPTGD1187B9AD361, classic pop and rock
ARDQ9AP1187B9BA3F6, amÇricain
ARDQ9AP1187B9BA3F6, metalcore
ARDQ9AP1187B9BA3F6, usa
ARDQ9AP1187B9BA3F6, american
ARDR4AC1187FB371A1, spanish
