artist_id, track_id, duration, year
ARA3I0J1187FB57869, TRAQGNV128C7196894, 280.00608, 2003
ARKJKVO1187FB49D0A, TRAQGRI12903CEE1DA, 192.67873, 2002
AR16T2D1187B98ABF4, TRAQGID128F932232D, 239.33342, 2007
ARONPP01187B995FB5, TRAQTBF12903CCC1B7, 204.93016, 1997
ARPAAHK1187B9ABB00, TRAQTKV128F427BFA5, 223.99955, 2003
AR5IIHR1187B991B70, TRAQTRL128F428C2AF, 272.03873, 2002
ARBV8MP1187B9B60B1, TRAQTCE128F92E341E, 119.27465, 1990
AR1I9KS1187B9AEFD4, TRAQTOS128F428E94B, 361.24689, 1994
AR0RCMP1187FB3F427, TRAQTYT12903D134AC, 175.20281, 1976
ARKQ9JM1187FB57521, TRAQKUB128F1460B81, 60.21179, 2002
AR13CXU1187B9AD30A, TRAQKVC128F425E65C, 130.63791, 1982
ARAZF6G1187FB5A0C1, TRAQKPR128F427DDF8, 227.39546, 1999
AROQ9OT1187B99E88D, TRAQKIM128F42618D0, 309.49832, 2006
ART9GX11187B9B0EDC, TRAQKCW128F9352A52, 47.28118, 2009
AR1BZED1187FB4CDEE, TRAQKVM128F145BB26, 230.37342, 1992
ARNNQ9E1187FB3C82F, TRAQKZA128F9306913, 251.402, 2001
ARD5SR21187B9B5F4A, TRAQQEE128EF342942, 231.47057, 1978
ARA7EEC1187FB4C392, TRAQQUX128F92F9F10, 232.75057, 2008
ARTJJZZ1187B9BA5E7, TRAQQLM128F147CBFE, 45.45261, 2006
ARC2HVM1187B98CE05, TRAQQUC128F9314732, 286.74567, 1998
AR8FMEN1187FB4A657, TRAQQOG128F934B0A1, 386.66404, 2000
ARAXU5Z1187B98FECD, TRAQQVR128F4255A3A, 128.41751, 2005
ARZWK2R1187B98F09F, TRAQQHJ128F9345DC3, 187.66322, 2001
ARID1TK1187FB4CFB8, TRAQQZN128F931FA31, 212.84526, 2008
ARWSCGO1269FCD5E49, TRAQQYH12903D0C595, 219.29751, 2009
ARGMXQW1187FB54C34, TRAQQTW128F1466D86, 201.22077, 1995
ARHCUCR1187B98F589, TRAQUVZ128F932B2B7, 217.88689, 2008
ARBXVFV1187B99AA63, TRAQUQK128F92D13C1, 155.11465, 1987
ARJ9DSA1187B990E00, TRAQVDI128F42969C8, 292.91057, 2010
ARS86AJ1187B9B4225, TRAQVWM128F426CFAD, 137.79546, 1988
ARIULTJ1187B9A2017, TRAQVMY128F424C862, 169.66485, 2003
ARF8HTQ1187B9AE693, TRAQVTO128F14696A6, 329.53424, 1995
ARDCQM61187B9951CE, TRAQVQM128F933DFEB, 225.82812, 2008
AR7CCCC1187FB578FF, TRAQVCT12903CD7F32, 184.68526, 1960
AR32PK91187FB4D6E2, TRAQVLJ128F4283F4D, 210.93832, 1998
ARCSHVZ11C8A41575B, TRAQVFU12903CDCB07, 204.90404, 2008
ARUYVDC12086C11D5C, TRAQVJM128F9310F20, 556.06812, 2009
ARRVGAX1187FB4D745, TRAQVSH128F92EF9A5, 149.65506, 2000
ARWSMC91187B9AD369, TRAUCVY12903CF2B1E, 213.39383, 2000
ARWUK9L11C8A42C37B, TRAUCHW128F9343FE2, 251.402, 2007
AR3AY3R1187FB52CF0, TRAUCZX128F149D9AE, 209.08363, 1996
ARKN9J11187B9B210D, TRAUCSN128F148CB99, 64.70485, 1998
AR6CLFP1187B9ACB94, TRAUCBH128F4275052, 270.78485, 1982
ARBE5BJ1187B98BCFD, TRAUCME128F422A115, 218.48771, 1997
AR2UQQ51187B9AC816, TRAUCNU128F42671EB, 194.87302, 1987
ARE2QID1187B98FA19, TRAUCPI128F4224350, 163.91791, 1935
ARJIWJH1187FB3F6B9, TRAUJMN128F421A8EC, 335.69914, 2005
ARK3PWH1187B9A441D, TRAUJPQ128F930D4C5, 252.21179, 2009
ARK3PWH1187B9A441D, TRAUJVM128F422C5A2, 197.79873, 2008
AR91C8S1187B990901, TRAUJTZ12903CF7BB4, 191.99955, 1984
AR9ST641187B99B4DE, TRAUJEB128F4240FD4, 200.12363, 2003
AR3FE581187FB3F90A, TRAUJLJ128E0784E7C, 246.33424, 2003
ARC8CQZ1187B98DECA, TRAUJKJ128E078FA48, 228.70159, 2000
ARDFZE61187FB45994, TRAUIYH128E078DA2F, 168.77669, 2004
ARNFTGS1187B9A465F, TRAUIOQ128F92EDC51, 122.64444, 1982
ARM3QKQ1187FB421E0, TRAUISB128F423D3F0, 291.91791, 1996
AR6CLFP1187B9ACB94, TRAUIHC128F427EEF9, 237.68771, 1984
ARWAPYC1187FB3FCAF, TRAUIGU128F92EA6DA, 274.54649, 1993
AR1GYND1187B9A9CD3, TRAUIBK128F9345A79, 140.06812, 1998
ARNF6401187FB57032, TRAUIMO128F147C31C, 302.86322, 1999
AR12EOE1187FB3AE26, TRAUHXR12903CBDFE4, 399.82975, 2006
AR4MCB01187B98BF5C, TRAUHVP128F933657C, 433.94567, 1998
ARS1OWB1187B99EEAD, TRAUXEU12903CD3CD7, 234.84036, 1973
ARSW5F51187FB4CFC9, TRAUXNO128F42774A0, 262.47791, 1992
ARYQQY31187B9ABBE1, TRAUXNU12903D11493, 242.62485, 2000
ARUL0VB1187B9A01AA, TRAUXEL128F42683D5, 217.93914, 2002
ARUSOMY1187FB4D3B4, TRAUXSK128F427C58D, 299.80689, 2008
AR0BLA51187FB4E6CD, TRAUOPR128F933634F, 266.81424, 1979
ARAXU5Z1187B98FECD, TRAUONA128F4255A38, 160.96608, 2005
ARIZODP1187B9AD272, TRAUOXB128F146573B, 35.65669, 2002
ARWD25M1187FB4C563, TRAUOEY128F421CBD3, 229.85098, 2007
AR4TLW81187B99683D, TRAUOPA128F93537F2, 256.62649, 2000
AR0D6EL1187B9AF46B, TRAUOUZ128E078F8BB, 208.32608, 1988
ARIKE5O1187B997E73, TRAUOAA128F4245ECF, 221.90975, 2003
ARQXC7V1187FB4DA9E, TRAUODU128F9307467, 289.09669, 1993
ARQUMH41187B9AF699, TRAUOPE128EF367610, 189.28281, 2007
AR2XBPG1187B98FCBE, TRAUMHL128F930CFCB, 156.18567, 1973
AR76DOS1187FB5AE78, TRAUMNH128F92FB67F, 283.03628, 1992
AR52QY11187B99FC59, TRAUMPU12903CBD2E2, 264.14975, 2005
AR633SY1187B9AC3B9, TRAUMIT128F424DA18, 137.37751, 2002
ARX9YIP1187B98A656, TRAUMIX12903CE640C, 227.5522, 1990
ARU230L1187FB4642F, TRAUMBG12903CF0D68, 468.00934, 1978
AR11YQ81187FB3C654, TRAURRP128F4261B94, 296.30649, 1998
ARGFFA01187B9A2D11, TRAURRO128F1489B2C, 159.89506, 2005
ARL635X1187B990092, TRAURHK12903CA60F8, 241.65832, 2009
AREN7YO1187B9A475C, TRAURGF128F427E9B5, 263.18322, 1994
ARKBTPV1187FB38A79, TRAUREN128F931F5AB, 159.79057, 1986
ARJRIM91187FB3EF9A, TRAURLY128F4274DBB, 324.51873, 2004
AR32ETX1187B9A792F, TRAUYOD128F42647FE, 262.29506, 1990
AR18SS11187FB4852B, TRAUYLT128F427538E, 233.22077, 2006
ARDVZTE1187FB5A0A1, TRAUYZG12903CDA4E9, 432.97914, 1995
ARXHFWE1187FB410A9, TRAUYXI12903CC7355, 110.57587, 2009
ARAXU5Z1187B98FECD, TRAUALF128E0781331, 249.93914, 2001
ARK8EHO1187B9B71D1, TRAUAHG128F931C55F, 280.31955, 1996
ARE0X5X1187B993A86, TRAUARF128F9337BD4, 301.73995, 2003
ARWR6RK1187FB3AB52, TRAUAZA128F424847C, 147.64363, 2002
ARWEM1D1187FB4077B, TRAUBRC128F92EF13F, 212.63628, 1999
